dataset,domain,method,cert_rate_%,mean_mu_hat,mean_lower_bound,mean_n_eff,runtime_sec,n_cohorts
clintox,molecular,cvplus,0.0,1.0,0.0,0.11,0.31,110
clintox,molecular,group_dro,0.91,1.0,0.31,1.39,1.52,110
clintox,molecular,kliep,0.91,1.0,0.31,1.36,0.2,110
clintox,molecular,kmm,0.73,1.0,0.27,0.5,3.4,110
clintox,molecular,ravel,0.91,1.0,0.47,2.72,0.28,110
clintox,molecular,rulsif,0.91,1.0,0.31,1.37,0.07,110
clintox,molecular,split_conformal,1.45,1.0,0.71,1.39,0.02,110
clintox,molecular,ulsif,0.91,1.0,0.31,1.37,0.06,110
clintox,molecular,weighted_conformal,2.73,1.0,1.0,1.37,0.05,110
communities_crime,tabular,bbse,6.67,0.84,0.72,19.02,0.04,9
communities_crime,tabular,cvplus,0.0,0.93,0.0,0.76,0.44,9
communities_crime,tabular,group_dro,6.67,0.87,0.75,19.11,0.11,9
communities_crime,tabular,kliep,6.67,0.86,0.74,18.63,0.21,9
communities_crime,tabular,kmm,4.44,0.84,0.69,14.22,6.94,9
communities_crime,tabular,ravel,6.67,0.58,0.74,21.4,0.22,9
communities_crime,tabular,rulsif,6.67,0.85,0.73,18.28,0.07,9
communities_crime,tabular,split_conformal,8.89,0.87,0.82,19.11,0.0,9
communities_crime,tabular,ulsif,6.67,0.85,0.72,18.25,0.04,9
communities_crime,tabular,weighted_conformal,8.89,0.85,0.89,18.25,0.13,9
compas,tabular,bbse,8.42,0.96,0.31,15.47,1.42,38
compas,tabular,cvplus,4.74,0.94,0.17,8.91,47.63,38
compas,tabular,group_dro,8.42,0.96,0.31,15.47,1.23,38
compas,tabular,kliep,8.42,0.96,0.3,15.28,34.95,38
compas,tabular,ravel,4.74,0.92,0.41,17.68,46.68,38
compas,tabular,rulsif,8.42,0.96,0.3,15.17,51.79,38
compas,tabular,split_conformal,33.68,0.96,0.72,15.47,0.06,38
compas,tabular,ulsif,8.42,0.96,0.3,15.17,40.15,38
compas,tabular,weighted_conformal,58.95,0.96,0.97,15.17,46.55,38
credit_default,tabular,bbse,65.0,1.0,0.87,83.63,0.06,16
credit_default,tabular,cvplus,65.0,1.0,0.87,82.93,0.19,16
credit_default,tabular,kliep,62.5,1.0,0.87,80.56,0.39,16
credit_default,tabular,ravel,57.5,1.0,0.87,89.52,0.85,16
credit_default,tabular,rulsif,61.25,1.0,0.86,79.18,0.21,16
credit_default,tabular,split_conformal,73.75,1.0,0.96,83.62,0.1,16
credit_default,tabular,ulsif,61.25,1.0,0.86,79.17,0.08,16
credit_default,tabular,weighted_conformal,75.0,1.0,1.0,79.17,0.21,16
dbpedia,text,bbse,28.57,0.5,0.49,164.36,1.25,14
dbpedia,text,cvplus,28.57,0.5,0.49,139.01,18.32,14
dbpedia,text,kliep,28.57,0.5,0.49,164.35,8.58,14
dbpedia,text,ravel,28.57,0.31,0.49,177.59,47.01,14
dbpedia,text,rulsif,28.57,0.5,0.49,164.35,9.29,14
dbpedia,text,split_conformal,28.57,0.5,0.5,164.36,0.02,14
dbpedia,text,ulsif,28.57,0.5,0.49,164.35,7.89,14
dbpedia,text,weighted_conformal,28.57,0.5,0.5,164.35,10.57,14
delaney,molecular,bbse,4.0,0.89,0.46,5.14,0.04,20
delaney,molecular,cvplus,0.0,0.99,0.0,0.43,0.4,20
delaney,molecular,group_dro,4.0,0.9,0.49,5.15,0.15,20
delaney,molecular,kliep,4.0,0.9,0.48,5.02,0.21,20
delaney,molecular,kmm,3.0,0.93,0.37,3.5,0.81,20
delaney,molecular,ravel,3.0,0.97,0.49,12.54,0.17,20
delaney,molecular,rulsif,4.0,0.9,0.49,5.06,0.05,20
delaney,molecular,split_conformal,10.0,0.9,0.77,5.15,0.01,20
delaney,molecular,ulsif,4.0,0.9,0.49,5.06,0.02,20
delaney,molecular,weighted_conformal,13.0,0.9,0.93,5.06,0.06,20
diabetes,tabular,bbse,0.0,0.75,0.0,8.18,0.01,4
diabetes,tabular,cvplus,0.0,0.73,0.0,7.21,0.03,4
diabetes,tabular,group_dro,0.0,0.72,0.0,8.25,0.07,4
diabetes,tabular,kliep,0.0,0.71,0.0,7.97,0.19,4
diabetes,tabular,kmm,0.0,0.76,0.0,6.8,0.35,4
diabetes,tabular,ravel,0.0,0.72,0.0,8.2,0.12,4
diabetes,tabular,rulsif,0.0,0.71,0.0,7.96,0.02,4
diabetes,tabular,split_conformal,10.0,0.72,0.38,8.25,0.01,4
diabetes,tabular,ulsif,0.0,0.71,0.0,7.96,0.03,4
diabetes,tabular,weighted_conformal,45.0,0.71,0.71,7.96,0.07,4
esol,molecular,bbse,0.0,0.64,0.46,22.67,0.04,6
esol,molecular,cvplus,0.0,0.62,0.0,2.17,0.16,6
esol,molecular,group_dro,6.67,0.76,0.61,24.67,0.08,6
esol,molecular,kliep,6.67,0.76,0.61,23.89,0.12,6
esol,molecular,kmm,0.0,0.83,0.12,3.24,2.12,6
esol,molecular,ravel,3.33,0.77,0.59,119.45,0.37,6
esol,molecular,rulsif,6.67,0.76,0.61,24.39,0.07,6
esol,molecular,split_conformal,6.67,0.76,0.7,24.67,0.0,6
esol,molecular,ulsif,6.67,0.76,0.61,24.39,0.04,6
esol,molecular,weighted_conformal,13.33,0.76,0.8,24.39,0.03,6
freesolv,molecular,bbse,26.67,1.0,0.81,15.33,0.02,3
freesolv,molecular,cvplus,0.0,1.0,0.3,4.41,0.15,3
freesolv,molecular,group_dro,26.67,1.0,0.81,15.33,0.06,3
freesolv,molecular,kliep,26.67,1.0,0.81,15.15,0.19,3
freesolv,molecular,kmm,0.0,1.0,0.48,5.85,0.35,3
freesolv,molecular,rulsif,26.67,1.0,0.81,15.13,0.05,3
freesolv,molecular,split_conformal,33.33,1.0,0.94,15.33,0.0,3
freesolv,molecular,ulsif,26.67,1.0,0.81,15.12,0.03,3
freesolv,molecular,weighted_conformal,33.33,1.0,1.0,15.12,0.02,3
german_credit,tabular,bbse,0.0,0.43,0.0,2.36,0.03,14
german_credit,tabular,cvplus,0.0,0.37,0.0,1.63,0.15,14
german_credit,tabular,group_dro,0.0,0.43,0.0,2.36,0.23,14
german_credit,tabular,kliep,0.0,0.42,0.0,2.3,0.21,14
german_credit,tabular,kmm,0.0,0.4,0.0,1.67,0.94,14
german_credit,tabular,ravel,0.0,0.56,0.0,4.44,0.12,14
german_credit,tabular,rulsif,0.0,0.42,0.0,2.33,0.05,14
german_credit,tabular,split_conformal,0.0,0.43,0.17,2.36,0.01,14
german_credit,tabular,ulsif,0.0,0.42,0.0,2.32,0.03,14
german_credit,tabular,weighted_conformal,2.86,0.42,0.42,2.32,0.07,14
hate_speech,text,bbse,32.0,0.75,0.61,173.8,0.14,5
hate_speech,text,cvplus,28.0,0.75,0.59,151.32,4.24,5
hate_speech,text,group_dro,32.0,0.75,0.6,173.8,0.26,5
hate_speech,text,kliep,32.0,0.75,0.6,173.79,4.91,5
hate_speech,text,ravel,28.0,0.75,0.6,173.78,11.99,5
hate_speech,text,rulsif,32.0,0.75,0.6,173.8,5.19,5
hate_speech,text,split_conformal,48.0,0.75,0.69,173.8,0.01,5
hate_speech,text,ulsif,32.0,0.75,0.6,173.8,3.65,5
hate_speech,text,weighted_conformal,68.0,0.75,0.78,173.8,5.15,5
heart_disease,tabular,bbse,0.0,0.93,0.0,1.75,0.01,8
heart_disease,tabular,cvplus,0.0,0.95,0.0,1.37,0.03,8
heart_disease,tabular,group_dro,0.0,0.94,0.0,1.75,0.13,8
heart_disease,tabular,kliep,0.0,0.94,0.0,1.72,0.03,8
heart_disease,tabular,kmm,0.0,0.97,0.0,1.03,0.03,8
heart_disease,tabular,ravel,0.0,0.74,0.0,3.82,0.1,8
heart_disease,tabular,rulsif,0.0,0.94,0.0,1.73,0.02,8
heart_disease,tabular,split_conformal,7.5,0.94,0.57,1.75,0.0,8
heart_disease,tabular,ulsif,0.0,0.94,0.0,1.73,0.02,8
heart_disease,tabular,weighted_conformal,22.5,0.94,0.94,1.73,0.06,8
hiv,molecular,bbse,0.0,0.86,0.15,2.25,0.38,20
hiv,molecular,cvplus,0.0,0.89,0.13,1.8,5.07,20
hiv,molecular,kliep,0.0,0.83,0.1,2.08,0.89,20
hiv,molecular,ravel,0.0,0.86,0.14,22.5,9.85,20
hiv,molecular,rulsif,0.0,0.81,0.06,1.93,0.8,20
hiv,molecular,split_conformal,3.0,0.86,0.59,2.25,0.15,20
hiv,molecular,ulsif,0.0,0.81,0.06,1.93,0.55,20
hiv,molecular,weighted_conformal,7.0,0.81,0.83,1.93,0.61,20
imdb,text,bbse,60.0,0.6,0.59,538.5,1.35,10
imdb,text,cvplus,60.0,0.6,0.59,385.9,22.49,10
imdb,text,kliep,60.0,0.6,0.59,538.46,7.66,10
imdb,text,ravel,60.0,0.6,0.59,538.37,45.18,10
imdb,text,rulsif,60.0,0.6,0.59,538.44,11.77,10
imdb,text,split_conformal,60.0,0.6,0.6,538.5,0.03,10
imdb,text,ulsif,60.0,0.6,0.59,538.44,8.12,10
imdb,text,weighted_conformal,60.0,0.6,0.6,538.44,10.52,10
imdb_genre,text,bbse,62.5,0.87,0.78,255.36,0.51,8
imdb_genre,text,cvplus,62.5,0.87,0.77,217.22,6.0,8
imdb_genre,text,group_dro,65.0,0.87,0.78,255.38,0.43,8
imdb_genre,text,kliep,65.0,0.87,0.78,255.36,5.21,8
imdb_genre,text,ravel,60.0,0.87,0.78,255.33,20.54,8
imdb_genre,text,rulsif,65.0,0.87,0.78,255.36,6.55,8
imdb_genre,text,split_conformal,80.0,0.87,0.83,255.38,0.02,8
imdb_genre,text,ulsif,65.0,0.87,0.78,255.36,4.81,8
imdb_genre,text,weighted_conformal,97.5,0.87,0.92,255.36,6.11,8
lipophilicity,molecular,bbse,0.0,0.94,0.03,0.18,0.15,459
lipophilicity,molecular,cvplus,0.0,0.97,0.02,0.15,0.76,459
lipophilicity,molecular,group_dro,0.0,0.94,0.03,0.18,7.49,459
lipophilicity,molecular,kliep,0.0,0.94,0.03,0.18,0.32,459
lipophilicity,molecular,kmm,0.0,0.98,0.03,0.11,100.74,459
lipophilicity,molecular,ravel,0.0,0.72,0.06,1.53,0.79,459
lipophilicity,molecular,rulsif,0.0,0.94,0.03,0.18,0.68,459
lipophilicity,molecular,split_conformal,0.57,0.94,0.57,0.18,0.09,459
lipophilicity,molecular,ulsif,0.0,0.94,0.03,0.18,0.22,459
lipophilicity,molecular,weighted_conformal,2.0,0.94,0.95,0.18,0.24,459
molhiv,molecular,bbse,0.0,0.63,0.0,0.01,2.84,2312
molhiv,molecular,cvplus,0.0,0.57,0.0,0.01,9.16,2312
molhiv,molecular,kliep,0.0,0.54,0.0,0.01,2.82,2312
molhiv,molecular,ravel,0.0,0.7,0.0,2.77,10.41,2312
molhiv,molecular,rulsif,0.0,0.5,0.0,0.01,3.72,2312
molhiv,molecular,split_conformal,0.0,0.57,0.22,0.01,2.22,2312
molhiv,molecular,ulsif,0.0,0.5,0.0,0.01,2.47,2312
molhiv,molecular,weighted_conformal,0.02,0.5,0.5,0.01,2.78,2312
mushroom,tabular,bbse,50.0,0.85,0.66,63.95,0.11,6
mushroom,tabular,cvplus,46.67,0.84,0.66,62.94,0.64,6
mushroom,tabular,group_dro,46.67,0.84,0.66,64.0,0.12,6
mushroom,tabular,kliep,46.67,0.84,0.65,63.51,0.19,6
mushroom,tabular,ravel,43.33,0.87,0.66,64.41,0.29,6
mushroom,tabular,rulsif,46.67,0.84,0.65,63.6,0.12,6
mushroom,tabular,split_conformal,60.0,0.84,0.74,64.0,0.02,6
mushroom,tabular,ulsif,46.67,0.84,0.65,63.6,0.08,6
mushroom,tabular,weighted_conformal,63.33,0.84,0.85,63.6,0.14,6
muv,molecular,bbse,0.0,,,0.0,20.23,7636
muv,molecular,cvplus,0.0,,,0.0,44.35,7636
muv,molecular,kliep,0.0,,,0.0,16.92,7636
muv,molecular,ravel,0.0,,,,43.64,7636
muv,molecular,rulsif,0.0,,,0.0,22.42,7636
muv,molecular,split_conformal,0.0,,,0.0,19.95,7636
muv,molecular,ulsif,0.0,,,0.0,14.05,7636
muv,molecular,weighted_conformal,0.0,,,0.0,20.1,7636
online_shoppers,tabular,bbse,4.0,0.77,0.19,22.3,0.02,10
online_shoppers,tabular,cvplus,4.0,0.78,0.2,21.95,0.1,10
online_shoppers,tabular,group_dro,4.0,0.77,0.2,22.3,0.19,10
online_shoppers,tabular,kliep,4.0,0.78,0.18,21.07,0.35,10
online_shoppers,tabular,ravel,0.0,0.72,0.23,25.1,0.42,10
online_shoppers,tabular,rulsif,2.0,0.79,0.17,20.03,0.14,10
online_shoppers,tabular,split_conformal,22.0,0.77,0.54,22.3,0.02,10
online_shoppers,tabular,ulsif,2.0,0.79,0.17,20.02,0.11,10
online_shoppers,tabular,weighted_conformal,56.0,0.79,0.81,20.02,0.14,10
qm7,molecular,bbse,10.0,0.95,0.25,33.45,0.09,20
qm7,molecular,cvplus,0.0,0.96,0.08,6.59,0.97,20
qm7,molecular,group_dro,10.0,0.95,0.25,33.45,0.38,20
qm7,molecular,kliep,10.0,0.95,0.24,32.64,0.5,20
qm7,molecular,ravel,7.0,0.95,0.28,33.91,1.12,20
qm7,molecular,rulsif,11.0,0.95,0.24,32.48,0.3,20
qm7,molecular,split_conformal,43.0,0.95,0.7,33.45,0.04,20
qm7,molecular,ulsif,11.0,0.95,0.24,32.48,0.2,20
qm7,molecular,weighted_conformal,75.0,0.95,0.96,32.48,0.43,20
rotten_tomatoes,text,bbse,36.0,0.75,0.63,221.1,0.11,5
rotten_tomatoes,text,cvplus,36.0,0.75,0.62,192.59,2.91,5
rotten_tomatoes,text,group_dro,36.0,0.76,0.64,221.2,0.31,5
rotten_tomatoes,text,kliep,36.0,0.76,0.64,221.19,4.44,5
rotten_tomatoes,text,ravel,36.0,0.76,0.64,221.16,11.03,5
rotten_tomatoes,text,rulsif,36.0,0.76,0.64,221.2,4.91,5
rotten_tomatoes,text,split_conformal,52.0,0.76,0.7,221.2,0.02,5
rotten_tomatoes,text,ulsif,36.0,0.76,0.64,221.2,3.62,5
rotten_tomatoes,text,weighted_conformal,68.0,0.76,0.79,221.2,4.86,5
sampl,molecular,bbse,2.0,0.84,0.3,2.99,0.03,20
sampl,molecular,cvplus,0.0,0.99,0.0,0.68,0.27,20
sampl,molecular,group_dro,3.0,0.86,0.31,3.0,0.14,20
sampl,molecular,kliep,3.0,0.87,0.31,2.96,0.25,20
sampl,molecular,kmm,1.0,0.77,0.19,1.88,0.19,20
sampl,molecular,ravel,2.0,0.76,0.46,6.69,0.13,20
sampl,molecular,rulsif,3.0,0.88,0.31,2.96,0.04,20
sampl,molecular,split_conformal,7.0,0.86,0.62,3.0,0.01,20
sampl,molecular,ulsif,3.0,0.88,0.31,2.96,0.01,20
sampl,molecular,weighted_conformal,12.0,0.88,0.89,2.96,0.06,20
sider,molecular,bbse,0.0,0.75,0.1,0.36,0.06,135
sider,molecular,cvplus,0.0,0.76,0.0,0.07,0.33,135
sider,molecular,group_dro,0.0,0.7,0.07,0.36,1.39,135
sider,molecular,kliep,0.0,0.69,0.07,0.36,0.13,135
sider,molecular,kmm,0.0,0.79,0.0,0.12,2.74,135
sider,molecular,ravel,0.0,0.67,0.07,1.64,0.27,135
sider,molecular,rulsif,0.0,0.69,0.07,0.36,0.14,135
sider,molecular,split_conformal,0.0,0.7,0.42,0.36,0.02,135
sider,molecular,ulsif,0.0,0.69,0.07,0.36,0.06,135
sider,molecular,weighted_conformal,0.74,0.69,0.71,0.36,0.1,135
sst2,text,bbse,50.0,0.5,0.5,1005.37,2.67,8
sst2,text,cvplus,50.0,0.5,0.5,859.83,14.38,8
sst2,text,kliep,50.0,0.5,0.5,1001.79,7.27,8
sst2,text,ravel,50.0,0.5,0.5,1005.35,31.51,8
sst2,text,rulsif,50.0,0.5,0.5,1001.92,9.07,8
sst2,text,split_conformal,50.0,0.5,0.5,1005.38,0.03,8
sst2,text,ulsif,50.0,0.5,0.5,1001.92,5.39,8
sst2,text,weighted_conformal,50.0,0.5,0.5,1001.92,7.6,8
student_performance,tabular,bbse,18.18,0.93,0.36,15.25,0.03,11
student_performance,tabular,cvplus,7.27,0.95,0.22,9.61,0.19,11
student_performance,tabular,group_dro,18.18,0.95,0.37,15.27,0.18,11
student_performance,tabular,kliep,18.18,0.94,0.37,15.13,0.17,11
student_performance,tabular,kmm,5.45,0.92,0.26,9.68,1.18,11
student_performance,tabular,ravel,7.27,0.96,0.42,15.72,0.14,11
student_performance,tabular,rulsif,18.18,0.94,0.37,15.18,0.05,11
student_performance,tabular,split_conformal,47.27,0.95,0.75,15.27,0.02,11
student_performance,tabular,ulsif,18.18,0.94,0.37,15.18,0.03,11
student_performance,tabular,weighted_conformal,69.09,0.94,0.94,15.18,0.07,11
tox21,molecular,bbse,0.0,,,0.0,0.06,56
tox21,molecular,cvplus,0.0,,,0.0,0.54,56
tox21,molecular,group_dro,0.0,,,0.0,1.09,56
tox21,molecular,kliep,0.0,,,0.0,0.23,56
tox21,molecular,rulsif,0.0,,,0.0,0.79,56
tox21,molecular,split_conformal,0.0,,,0.0,0.02,56
tox21,molecular,ulsif,0.0,,,0.0,0.2,56
tox21,molecular,weighted_conformal,0.0,,,0.0,0.23,56
toxcast,molecular,bbse,0.0,,,0.0,0.08,84
toxcast,molecular,cvplus,0.0,,,0.0,0.74,84
toxcast,molecular,group_dro,0.0,,,0.0,1.66,84
toxcast,molecular,kliep,0.0,,,0.0,0.29,84
toxcast,molecular,rulsif,0.0,,,0.0,0.48,84
toxcast,molecular,split_conformal,0.0,,,0.0,0.02,84
toxcast,molecular,ulsif,0.0,,,0.0,0.22,84
toxcast,molecular,weighted_conformal,0.0,,,0.0,0.24,84
twitter,text,bbse,0.0,0.48,0.34,200.0,0.03,10
twitter,text,cvplus,0.0,0.48,0.34,200.0,0.08,10
twitter,text,kliep,0.0,0.48,0.34,200.0,0.1,10
twitter,text,ravel,0.0,0.48,0.34,199.99,0.41,10
twitter,text,rulsif,0.0,0.48,0.34,200.0,0.14,10
twitter,text,split_conformal,0.0,0.48,0.42,200.0,0.03,10
twitter,text,ulsif,0.0,0.48,0.34,200.0,0.11,10
twitter,text,weighted_conformal,12.0,0.48,0.5,200.0,0.14,10
wine_quality,tabular,bbse,36.67,0.69,0.59,150.17,0.02,6
wine_quality,tabular,cvplus,36.67,0.69,0.59,147.7,0.1,6
wine_quality,tabular,group_dro,36.67,0.69,0.59,150.17,0.14,6
wine_quality,tabular,kliep,36.67,0.69,0.58,148.34,0.24,6
wine_quality,tabular,ravel,36.67,0.57,0.59,150.64,0.26,6
wine_quality,tabular,rulsif,36.67,0.69,0.58,147.95,0.13,6
wine_quality,tabular,split_conformal,46.67,0.69,0.65,150.17,0.01,6
wine_quality,tabular,ulsif,36.67,0.69,0.58,147.9,0.08,6
wine_quality,tabular,weighted_conformal,53.33,0.69,0.7,147.9,0.14,6
yelp,text,bbse,62.0,0.84,0.77,424.76,1.09,10
yelp,text,cvplus,60.0,0.84,0.75,263.47,25.75,10
yelp,text,kliep,62.0,0.84,0.77,424.73,8.54,10
yelp,text,ravel,60.0,0.84,0.77,424.54,52.56,10
yelp,text,rulsif,62.0,0.84,0.77,424.79,12.43,10
yelp,text,split_conformal,70.0,0.84,0.81,424.8,0.05,10
yelp,text,ulsif,62.0,0.84,0.77,424.79,8.89,10
yelp,text,weighted_conformal,84.0,0.84,0.88,424.79,10.63,10
