trial_id,n_cal,n_test,n_cohorts,shift_severity,positive_rate,false_certify_fwer,false_certify_count,n_certified,n_abstain,n_no_guarantee,coverage,mean_n_eff,mean_ppv_estimate,mean_true_ppv,runtime_seconds
34,500,5000,10,1.0,0.5,0,0,0,50,0,,25.860812902015024,,,0.12443852424621582
35,500,5000,10,1.0,0.5,0,0,1,49,0,1.0,27.331421705248445,0.9765960842045773,0.8541666666666666,0.1179358959197998
36,500,5000,10,1.0,0.5,0,0,1,49,0,1.0,27.170670397074776,0.9362711861592649,0.8473282442748091,0.12496304512023926
37,500,5000,10,1.0,0.5,0,0,1,49,0,1.0,29.548584192334985,0.956475835885204,0.7736842105263158,0.11974716186523438
38,500,5000,10,1.0,0.5,0,0,1,49,0,1.0,25.664377862276567,0.9749384130625701,0.899749373433584,0.08491110801696777
39,500,5000,10,1.0,0.5,0,0,0,50,0,,23.10709238286905,,,0.13414216041564941
40,500,5000,10,1.0,0.5,0,0,0,50,0,,24.274042343707876,,,0.10046529769897461
41,500,5000,10,1.0,0.5,0,0,0,50,0,,26.81687738068019,,,0.09889459609985352
42,500,5000,10,1.0,0.5,0,0,0,50,0,,22.87447449169558,,,0.11408376693725586
43,500,5000,10,1.0,0.5,0,0,0,50,0,,24.1810617859285,,,0.13971567153930664
44,500,5000,10,1.0,0.5,0,0,1,49,0,1.0,20.620307409683388,0.9729227387538741,0.8636363636363636,0.09099912643432617
45,500,5000,10,1.0,0.5,0,0,0,50,0,,23.138521833322432,,,0.12258625030517578
46,500,5000,10,1.0,0.5,0,0,0,50,0,,25.64143423429816,,,0.12743473052978516
47,500,5000,10,1.0,0.5,0,0,1,49,0,1.0,29.092293956572565,0.9500331590482141,0.8371040723981901,0.1243739128112793
48,500,5000,10,1.0,0.5,0,0,0,50,0,,22.099235450233945,,,0.09916305541992188
49,500,5000,10,1.0,0.5,0,0,0,50,0,,20.934997878947183,,,0.0905604362487793
50,500,5000,10,1.0,0.5,0,0,0,50,0,,26.566970341767806,,,0.11197829246520996
51,500,5000,10,1.0,0.5,0,0,0,50,0,,22.192785550726388,,,0.09462285041809082
52,500,5000,10,1.0,0.5,0,0,0,50,0,,26.59234405610212,,,0.1092221736907959
53,500,5000,10,1.0,0.5,0,0,0,50,0,,27.924625067342614,,,0.11857247352600098
54,500,5000,10,1.0,0.5,0,0,0,50,0,,25.834843520255685,,,0.1059565544128418
55,500,5000,10,1.0,0.5,0,0,0,50,0,,21.9302804330932,,,0.20476293563842773
56,500,5000,10,1.0,0.5,0,0,0,50,0,,24.19614097383429,,,0.13235712051391602
57,500,5000,10,1.0,0.5,0,0,0,50,0,,20.386924909158033,,,0.16108942031860352
58,500,5000,10,1.0,0.5,0,0,0,50,0,,22.70895795254937,,,0.1826462745666504
59,500,5000,10,1.0,0.5,0,0,0,50,0,,24.304610990627417,,,0.1726853847503662
60,500,5000,10,1.0,0.5,0,0,0,50,0,,23.158281560846902,,,0.14050698280334473
61,500,5000,10,1.0,0.5,0,0,0,50,0,,21.794703711362832,,,0.10576677322387695
62,500,5000,10,1.0,0.5,0,0,2,48,0,1.0,22.08838729266553,1.0,0.8859649122807017,0.1665346622467041
63,500,5000,10,1.0,0.5,0,0,0,50,0,,26.640108312872215,,,0.1301732063293457
64,500,5000,10,1.0,0.5,0,0,0,50,0,,19.593551624759684,,,0.20905327796936035
65,500,5000,10,1.0,0.5,0,0,0,50,0,,26.193621370945962,,,0.11364507675170898
66,500,5000,10,1.0,0.5,0,0,0,50,0,,23.285916576586395,,,0.14934134483337402
67,500,5000,10,1.0,0.5,0,0,0,50,0,,26.356505876245055,,,0.16037678718566895
68,500,5000,10,1.0,0.5,0,0,0,50,0,,25.262488266527747,,,0.13565754890441895
69,500,5000,10,1.0,0.5,0,0,2,48,0,1.0,25.97401289965702,0.9776744199207574,0.8721923441948751,0.10050392150878906
70,500,5000,10,1.0,0.5,0,0,0,50,0,,22.668247064717193,,,0.14036798477172852
71,500,5000,10,1.0,0.5,0,0,0,50,0,,22.847839718458303,,,0.11417627334594727
72,500,5000,10,1.0,0.5,0,0,0,50,0,,25.180143923125442,,,0.11430191993713379
73,500,5000,10,1.0,0.5,0,0,0,50,0,,20.658083568960897,,,0.14443445205688477
74,500,5000,10,1.0,0.5,0,0,1,49,0,1.0,28.35748133090075,0.941967886834607,0.8273809523809523,0.14360594749450684
75,500,5000,10,1.0,0.5,0,0,0,50,0,,28.242816446499006,,,0.12834453582763672
76,500,5000,10,1.0,0.5,0,0,0,50,0,,24.526438029884588,,,0.14321327209472656
77,500,5000,10,1.0,0.5,0,0,1,49,0,1.0,27.094238942945964,0.956601852078309,0.8333333333333334,0.12584376335144043
78,500,5000,10,1.0,0.5,0,0,0,50,0,,21.33456392533003,,,0.1747303009033203
79,500,5000,10,1.0,0.5,0,0,0,50,0,,24.08486092908878,,,0.17509078979492188
80,500,5000,10,1.0,0.5,0,0,0,50,0,,17.65387942553325,,,0.19646286964416504
81,500,5000,10,1.0,0.5,0,0,1,49,0,1.0,21.61474895342279,0.9664629908151565,0.7735849056603774,0.14844155311584473
82,500,5000,10,1.0,0.5,0,0,0,50,0,,27.248904359560743,,,0.1338658332824707
83,500,5000,10,1.0,0.5,0,0,0,50,0,,29.42726992559532,,,0.14881396293640137
84,500,5000,10,1.0,0.5,0,0,0,50,0,,27.888357304478077,,,0.1619887351989746
85,500,5000,10,1.0,0.5,0,0,3,47,0,1.0,26.300477219347883,0.9735344618305285,0.8297682709447415,0.10819411277770996
86,500,5000,10,1.0,0.5,0,0,0,50,0,,22.15760948520897,,,0.14457964897155762
87,500,5000,10,1.0,0.5,0,0,1,49,0,1.0,28.986355094491156,0.9557333899757734,0.7727272727272727,0.09190797805786133
88,500,5000,10,1.0,0.5,0,0,0,50,0,,22.09121880549328,,,0.13358855247497559
89,500,5000,10,1.0,0.5,0,0,0,50,0,,25.740350724116414,,,0.1276381015777588
90,500,5000,10,1.0,0.5,0,0,0,50,0,,20.863551874017432,,,0.12212085723876953
91,500,5000,10,1.0,0.5,0,0,0,50,0,,27.83527703636394,,,0.1504228115081787
92,500,5000,10,1.0,0.5,0,0,2,48,0,1.0,24.473707380909207,0.9879142103430268,0.849444679949131,0.14306139945983887
93,500,5000,10,1.0,0.5,0,0,2,48,0,1.0,25.653919065302226,0.9627978998142364,0.8817480719794345,0.13991451263427734
94,500,5000,10,1.0,0.5,0,0,0,50,0,,27.723346649344762,,,0.1436328887939453
95,500,5000,10,1.0,0.5,0,0,0,50,0,,23.87261190948581,,,0.12328004837036133
96,500,5000,10,1.0,0.5,0,0,0,50,0,,21.49534082807518,,,0.1582632064819336
97,500,5000,10,1.0,0.5,0,0,0,50,0,,25.86491066254733,,,0.18032002449035645
98,500,5000,10,1.0,0.5,0,0,1,49,0,1.0,22.318435554443585,0.973538247836294,0.875,0.1998119354248047
99,500,5000,10,1.0,0.5,0,0,0,50,0,,24.408770409405893,,,0.28485608100891113
